Date,Year,Month,Week,District,Grade,Highest_Price,Average_Price,Source_URL
2016-01-19,2016,1,3,Kalutara,Alba,2000.0,2000.0,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Kalutara,C-4,1300.0,1260.0,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Kalutara,C-5,1400.0,1365.0,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Kalutara,H-2,870.0,860.0,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Kurunegala,Alba,,,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Kurunegala,C-4,,,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Kurunegala,C-5,,,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Kurunegala,H-2,,,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Matara,Alba,2150.0,2088.0,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Matara,C-4,1550.0,1526.0,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Matara,C-5,1600.0,1573.0,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Matara,H-2,1450.0,1430.0,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Monaragala,Alba,,,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Monaragala,C-4,,,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Monaragala,C-5,,,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Monaragala,H-2,,,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,National,Alba,2150.0,2024.0,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,National,C-4,1550.0,1395.57,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,National,C-5,1650.0,1515.17,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,National,H-2,1450.0,1285.2,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Ratnapura,Alba,2100.0,2033.0,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Ratnapura,C-4,1450.0,1383.0,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Ratnapura,C-5,1500.0,1433.0,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Ratnapura,H-2,1300.0,1266.0,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-26,2016,1,4,Badulla,Alba,,,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Badulla,C-4,1450.0,1450.0,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Badulla,C-5,1500.0,1500.0,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Badulla,H-2,,,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Colombo,Alba,,,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Colombo,C-4,1600.0,1600.0,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Colombo,C-5,1800.0,1800.0,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Colombo,H-2,1400.0,1400.0,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Galle,Alba,2100.0,2050.0,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Galle,C-4,1540.0,1500.0,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Galle,C-5,1600.0,1580.0,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Galle,H-2,1450.0,1440.0,https://exagri.info/mkt/2016/1.26.january-2016.html
